DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyStationPressure,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed,holiday,weekend,day,hour
2019-01-01 00:54:00,38.0,40,0.14,93.0,29.86,5.00,150,13.0,True,False,2019-01-01,0
2019-01-01 01:54:00,39.0,42,0.09,89.0,29.77,5.00,120,9.0,True,False,2019-01-01,1
2019-01-01 02:54:00,41.0,43,0.12,93.0,29.64,7.00,140,11.0,True,False,2019-01-01,2
2019-01-01 03:54:00,43.0,46,0.0,89.0,29.53,4.00,VRB,7.0,True,False,2019-01-01,3
2019-01-01 04:54:00,46.0,47,0.03,97.0,29.48,3.00,220,6.0,True,False,2019-01-01,4
2019-01-01 05:54:00,48.0,50,0.0,93.0,29.44,10.00,220,10.0,True,False,2019-01-01,5
2019-01-01 06:54:00,49.0,54,0.00,83.0,29.42s,10.00,240,18.0,True,False,2019-01-01,6
2019-01-01 07:54:00,48.0,54,0.00,80.0,29.44s,10.00,240,18.0,True,False,2019-01-01,7
2019-01-01 08:54:00,48.0,56,0.00,75.0,29.45s,10.00,240,15.0,True,False,2019-01-01,8
2019-01-01 09:54:00,47.0,58,0.00,67.0,29.47s,10.00,250,22.0,True,False,2019-01-01,9
2019-01-01 10:54:00,44.0,58,0.00,60.0,29.50,10.00,280,22.0,True,False,2019-01-01,10
2019-01-01 11:54:00,38.0,56,0.00,51.0,29.54,10.00,280,25.0,True,False,2019-01-01,11
2019-01-01 12:54:00,35.0,55,0.00,47.0,29.59,10.00,280,22.0,True,False,2019-01-01,12
2019-01-01 13:54:00,34.0,54,0.00,47.0,29.63,10.00,300,22.0,True,False,2019-01-01,13
2019-01-01 14:54:00,30.0,51,0.00,44.0,29.70,10.00,320,29.0,True,False,2019-01-01,14
2019-01-01 15:54:00,29.0,48,0.00,48.0,29.75,10.00,310,23.0,True,False,2019-01-01,15
2019-01-01 16:54:00,28.0,45,0.00,52.0,29.82,10.00,310,15.0,True,False,2019-01-01,16
2019-01-01 17:54:00,28.0,44,0.00,53.0,29.88,10.00,310,14.0,True,False,2019-01-01,17
2019-01-01 18:54:00,27.0,42,0.00,55.0,29.92,10.00,310,14.0,True,False,2019-01-01,18
2019-01-01 19:54:00,26.0,41,0.00,55.0,29.97,10.00,300,15.0,True,False,2019-01-01,19
2019-01-01 20:54:00,23.0,39,0.00,53.0,30.00,10.00,340,15.0,True,False,2019-01-01,20
2019-01-01 21:54:00,21.0,37,0.00,52.0,30.03,10.00,320,14.0,True,False,2019-01-01,21
2019-01-01 22:54:00,21.0,35,0.00,57.0,30.06,10.00,330,11.0,True,False,2019-01-01,22
2019-01-01 23:54:00,18.0,34,0.00,52.0,30.08,10.00,330,11.0,True,False,2019-01-01,23
2019-01-02 00:54:00,17.0,33,0.00,52.0,30.11,10.00,320,11.0,False,False,2019-01-02,0
2019-01-02 01:54:00,16.0,32,0.00,52.0,30.15,10.00,310,14.0,False,False,2019-01-02,1
2019-01-02 02:54:00,14.0,31,0.00,49.0,30.17,10.00,320,15.0,False,False,2019-01-02,2
2019-01-02 03:54:00,13.0,30,0.00,49.0,30.19,10.00,310,13.0,False,False,2019-01-02,3
2019-01-02 04:54:00,13.0,29,0.00,51.0,30.20,10.00,320,11.0,False,False,2019-01-02,4
2019-01-02 05:54:00,12.0,29,0.00,49.0,30.24,10.00,330,14.0,False,False,2019-01-02,5
2019-01-02 06:54:00,10.0,28,0.00,47.0,30.28,10.00,330,14.0,False,False,2019-01-02,6
2019-01-02 07:54:00,8.0,29,0.00,41.0,30.31,10.00,VRB,9.0,False,False,2019-01-02,7
2019-01-02 08:54:00,6.0,30,0.00,36.0,30.32,10.00,VRB,11.0,False,False,2019-01-02,8
2019-01-02 09:54:00,5.0,32,0.00,32.0,30.33,10.00,360,6.0,False,False,2019-01-02,9
2019-01-02 10:54:00,4.0,33,0.00,29.0,30.31,10.00,10,7.0,False,False,2019-01-02,10
2019-01-02 11:54:00,2.0,35,0.00,24.0,30.29,10.00,10,6.0,False,False,2019-01-02,11
2019-01-02 12:54:00,0.0,36,0.00,21.0,30.29,10.00,VRB,3.0,False,False,2019-01-02,12
2019-01-02 13:54:00,5.0,35,0.00,28.0,30.28,10.00,120,6.0,False,False,2019-01-02,13
2019-01-02 14:54:00,10.0,34,0.00,37.0,30.27,10.00,120,7.0,False,False,2019-01-02,14
2019-01-02 15:54:00,9.0,33,0.00,36.0,30.27,10.00,150,6.0,False,False,2019-01-02,15
2019-01-02 16:54:00,8.0,32,0.00,36.0,30.26,10.00,150,5.0,False,False,2019-01-02,16
2019-01-02 17:54:00,13.0,32,0.00,45.0,30.25,10.00,150,9.0,False,False,2019-01-02,17
2019-01-02 18:54:00,12.0,32,0.00,43.0,30.27,10.00,180,8.0,False,False,2019-01-02,18
2019-01-02 19:54:00,17.0,32,0.00,54.0,30.25,10.00,160,13.0,False,False,2019-01-02,19
2019-01-02 20:54:00,16.0,32,0.00,52.0,30.21,10.00,170,10.0,False,False,2019-01-02,20
2019-01-02 21:54:00,19.0,32,0.00,59.0,30.18,10.00,170,11.0,False,False,2019-01-02,21
2019-01-02 22:54:00,22.0,32,0.00,66.0,30.16,10.00,170,10.0,False,False,2019-01-02,22
2019-01-02 23:54:00,23.0,32,0.00,69.0,30.15,10.00,180,6.0,False,False,2019-01-02,23
2019-01-03 00:54:00,24.0,33,0.00,70.0,30.11,10.00,150,8.0,False,False,2019-01-03,0
2019-01-03 01:54:00,26.0,35,0.00,70.0,30.05,10.00,140,13.0,False,False,2019-01-03,1
2019-01-03 02:54:00,26.0,35,0.00,70.0,30.02,10.00,180,13.0,False,False,2019-01-03,2
2019-01-03 03:54:00,27.0,35,0.0,72.0,29.94,9.00,170,9.0,False,False,2019-01-03,3
2019-01-03 04:54:00,29.0,36,0.0,76.0,29.90,10.00,180,8.0,False,False,2019-01-03,4
2019-01-03 05:54:00,29.0,36,0.00,76.0,29.86,10.00,160,7.0,False,False,2019-01-03,5
2019-01-03 06:54:00,31.0,37,0.00,79.0,29.85,10.00,180,8.0,False,False,2019-01-03,6
2019-01-03 07:54:00,32.0,38,0.0,79.0,29.85,10.00,200,6.0,False,False,2019-01-03,7
2019-01-03 08:54:00,34.0,38,0.01,86.0,29.84,10.00,240,8.0,False,False,2019-01-03,8
2019-01-03 09:54:00,34.0,38,0.01,86.0,29.85,10.00,VRB,5.0,False,False,2019-01-03,9
2019-01-03 10:54:00,34.0,42,0.0,73.0,29.80,10.00,270,11.0,False,False,2019-01-03,10
2019-01-03 11:54:00,33.0,45,0.00,63.0,29.78,10.00,280,10.0,False,False,2019-01-03,11
2019-01-03 12:54:00,30.0,45,0.00,56.0,29.78,10.00,310,15.0,False,False,2019-01-03,12
2019-01-03 13:54:00,29.0,45,0.00,54.0,29.78,10.00,320,13.0,False,False,2019-01-03,13
